spell name,new spell name,description,errata
Stoneskin,Relacionar con bilupinos?,,"fuera? depende mucho de ""no magico"" para el equilibrio, pero tampoco es que aporte mucho."
Etherealness,Fold phase <- no hay plano etereo pero si folds,"You briefly step into the unreality between the folds and your world, every movement thereafter, uncannily ethereal and swift.","dice la palabra plano, se puede arreglar, cambiar a ""The folds of the world"" o similar"
Fortune's Favor,Tide of Fortune <- asociar a luna y pieni en lore,,"creo que puede tener un nicho. si se quita la condicion de concentracion y se hace un bufo para 3 criaturas en lugar de una sola, pasa a ser un uso de recursos comparable a golden weavev/siilvery barbs. por otro lado no necesitas la reaccion sino preaparlo de antes. pulgar arriba. a lo mejor otra tematica en lugar de suerte?"
Sickening Radiance,Semblance of Paivamies,"The sickening spite of the usurping sun is briefly channeled through you, effusing with death and devastation upon your target.","ahora mismo la exhaustion se va toda cuando acaba el hechizo. me haría gracia que se quedara aunque sea un solo stack, porque es una vibra mas damocles"
Project Image,,,"la verdad que como hechizo tiene algunos problemas. no se si tiene sentido que esto sea un hechizo del 7 en damocles. el rango y la utilidad son geniales, pero se muere de un golpe.borrar?"
Elemental Weapon,Imbue Weapon,,"Rework: cambiar todo el daño al daño del elemento. no sumar to hit. sumar nd4 de daño del elemento concreto. tras castear, cantrip especifico de elemento con la bonus.
fuego? produce flame <- firebolt es demasiado bueno para darlo gratis
hielo? ray of frost
rayo? shocking grasp"
skill empowerment,,,borrar. el efecto es interesante pero la manera en la que esta escrito es confuso. probablemente este mejor en un hechizo que hace alguna otra cosa tambien
enhance ability,,,"pasar a formato tabla. alargar duración. no se si realmente es interesante o un truño.
8h y ventaja en TS tambien y es buen hechizo, a la par con enlarge/reduce etc"
true strike,,,"borrar. A la mierda, la version aburrida de booming blade, gfb etc"
Contingency,,,"con el cambio de economía de slots se queda un poco raro. además de que deja de ser una herramienta para mantener slots tras el descanso largo, porque dura lo mismo que un descanso"
Blade Barrier,,,cuando lanzas el hechizo te deja invocar una espada como las del muro para atacar!!
System Backdoor (UA),,,borrar
Arcane Hacking (UA),,,borrar
Antilife Shell,Heartless Hull,una barrera que para a criaturas vivas en base a su corazón?,creo que se podría añadir a renevant
Digital Phantom (UA),,,borrar. error de parseo
Gate Seal,,,borrar.
House of Cards (UA),,,sin ficha. me parece muy interesante rescatarlo porque hace una cosa bastante unica
Cordon of Arrows,,,borrar. sin ficha(borrar o subir el daño muchisimo)
Maze,Lost in the folds,,"quitar la parte de exito automatico para razas, hacer que sea una check de herramientas de cartografia(navigation)(int)(?)"
cloudkill,,,"alargar, no da daño extra pero por como funciona cloudkill aunmentar duración es graciosisimo"
Remote Access (UA),Far grasp,,añadir al esper. me gusta que sea una version nicho de mano de mago
Protection from Energy,elemental ward,,"cambiaría el efecto para que de en lugar resistencia a daño ""acid, cold, fire, lightning, or thunder"" a resistencia a ""Fire ice and lightning"". probablemente sea un nerf aunque parece más amplio, pero creo que está en linea con como funcionan las categorías de daño en damocles. creo que se puede añadir objetivo extra si upcasteas 2-3 niveles"
Soul Cage,Engram,"The boundaries between what constitues life and imitation fade as you tear a perfect engram from a dying body; the shadowy, pearlescent construction caged and bound until the memory of it lets go.","creo que se puede alargar el efecto para que dure hasta dos o tres dias, ya que es consumible"
guards and wards,,,borrar.
Arcane Weapon (UA),,,borrar.
Control winds,Command the skies,,"el hechizo ha copiado mal. los modos han hecho algo raro. ademas de los 3 estandar me gustaría añadir un 4º por simetría con control water. a lo mejor un efecto tipo tornado que levante y disperse todos los objetos que no este agarrando nadie. se podría bajar a nivel 4 la verdad, no acabo de entender que esto sea nivel 5"
Control water,command the seas,You hark upon the life-giving waters ab¡nd they briefly listen.,
Dancing Lights,,,no se por que tiene una duracion cuando en la practica podría ser indefinido mientras mantengas concentración. 
Healing Elixir (UA),distill ambrosia,,"añadir a listas de clerigo y druida(?). me gusta mucho el hechizo, el efecto pasa a ser muy interesante en gritty.  probablemente se pueda alargar la duracion a 5-7 dias sin problema. cambiaría la curación al estandar de poción peque, no se si debería contar hacia el limite de pociones o no(si cuenta proablemente sea rentable que esto genere mas de una pocion porque una sola pocion es peor que cure wounds). el upcasteo yo haría que fuera subiendo el rango de poción, me parece mucho mas interesante aunque los break point de nivel se vuelvan raros."
Darkvision,,,alargar. 8h >16h
Death Ward,Denial,"Grief need not come if the first stage becomes realized, you ward against the very end with an invisible field of energy. The very folds are the blanket of your deathbed.",alargar 8h > 24h. creo que a nivel tematico 24 es genial para esto
Gift of Alacrity,Premonition,"Your senses become uniquely attuned to the motions of the world, letting you react faster to events not yet clear in the grooves of causality.",alargar 8h > 16h. añadir opcion de upcasteo? en plan a nivel 4 se lo das hasta a 10 criaturas o algo asi. dejarlo bastante cerrado en ese sentido.  es una cosa muy rara a nivel de recursos(te deja tirarselo cinco veces a la misma criatura) 
Leomund's Tiny Hut,Respiteful Resort,You forcefully tear the idea of a refuge from the unreality within the folds. A shelter emerges from it.,alargar 8h > 16h. realmente la utilidad es tener descanso seguro pero la duración extra puede tener sus usos. permitir que los cosos large estén dentro porque si no se queda un poco raro
Mage Armor,,,alargar. 8h >16h. si nos ponemos tontos 24h pero tampoco creo que haga falta que dure tanto
Nondetection,,,alargar 8h > 24h
Shadow Lore,Borossan Extortion/ Yellow whisper,The spell was popular long before there was a king of borossa. it used to be called yellow whisper for reasons lost to time // it is rumored that this spell was crafted by the lord of the mist themself,alargar 8h > until dawn. me parece una duracion interesante para un hechizo interesante
Crown of Stars,Orrery,"You call upon the disembodied astrals of the ancient Golden One, each providing guidance and reckoning with your mere thoughts.","alargar 1h >4h. es un hechizo que se consume al final. con extended spell se vuelve bastante gracioso. se puede tematizar alrededor del sistema solar y que cada estrella haga un tipo de daño, remix con http://dnd2024.wikidot.com/spell:elminster-s-effulgent-spheres  esto?"
Burial Rites,,,alargar 1h > 24 h/amanceccer. a lo mejor poner 1h de limite en el tiempo que pasas disfrazado. así no tienes tanta tanta prisa en hacer la suplantación. 
Borrowed Knowledge,Flash Familiarity,,Añadir al esper. alargar 1h >4h. realmente solo te interesan los primeros 5 min pero la duración extra siempre es graciosa
Fire Shield,Thermal Barrier,"The elements form a buffer between you and the world, both preventing and causing harm as you see fit.","alargar 10 min >1h, asi se puede usar fuera de combate contra el clima si tienes mucha neccesidad"
Antimagic Field,,,"alargar 1h > 2h. no se si esto se afecta a precursor, vaki o a todo. adaptar a damocles en general"
Alter Self,,,alargar 1h >4h. diría que si lo upcasteas tienes 2 opciones a la vez al 3 y todas al 4
Disguise Self,,,alargar 1h >4h
Intellect Fortress,Archivists' barrier,,"alargar 1h >4h. le añadiría de regalo los efectos de thought shield, que son temáticos."
Speak with Animals,,,alargar 10 min >30 min
Speak with Dead,,,alargar 10 min >30 min
Speak with Plants,,,alargar 10 min >30 min
Melf's Minute Meteors,Opaline Swarm,Airborne glimmer coalesces into minute asteroids resembling Taiva's ever shining belt.,alargar 10 min >30 min. es consumible asi que no me parece loco ajustar de manera normal la duración
See Invisibility,,,alargar 1h > 2h. no es muy loco pero bueno
Flame Arrows,Burning Bolts,,"alargar 1h >4h. se le podría quitar concentración, pero creo que es un bufo mucho más interesante ""all the weapon damage is dealt as fire damage. when you hit a creature it starts burning"". quiza ajustar el nº de flechas(burning es bastante mas rentable que daño de fuego basico por el tema de que jode la economia de accion)"
Circle of Power,,,alargar 10 min >30 min
Clairvoyance,,,alargar 10 min >30 min
Scrying,,,alargar 10 min >30 min
Spike Growth,,,alargar 10 min >30 min
Wall of Force,,,alargar 10 min >30 min
Detect Magic,arcane sense,gain a sixth sense for the duration. it allows you to perceive the arcane in the world,alargar 10 min >30 min. cada nivel que upcasteas aumenta el rango en 5 pies y la duracion en 15 minutos
Locate Object,,,alargar 10 min >30 min. cada nivel que upcasteas aumenta el rango en 500 pies y la duracion en 15 minutos
Daylight,,,alargar 1h >4h. añadir que al upcastear sirve para contrarrestar oscuridad de nivel más alto
Passwall,Tunnel,,alargar 1h > until dawn. es un hechizo del 5 vamos a hacer que sea gracioso. a lo mejor añadir que el agujero necesita una tirada de percepcion para que lo detecte gente que no sabe que esta porque tiene una ilusion encima de regalo?
Warding Bond,,,alargar 1h >4h. podría durar más todavía
Barkskin,,,lo han bufado durisimo. ver version 2024
Foresight,algo que tenga que ver con el arbol rojo del destino?,,alargar 8h>until next dawn
Find the Path,,,alargar 1h >2h. darselo al pobre ranger que no lo tiene.
thought shield(UA),,,borrar
Move Earth,,,borrar. es un efecto muy interesante que solo sirve para molestar al dm. es narrativamente chulo pero no tiene mucho uso ni en combate ni fuera.
Water Breathing,,,sufre muchisimo las reglas gritty. dejar recastearlo cuando acaba duración consumiendo slots del 1? ritual?
Feign Death,Veil of mana,"weave an impossibly thin gauze of ice, it covers a creature in stillness and quickly sublimates afterwards.","se puede alargar de 1h>8h, porque lo que es hacer no hace nada, solo mantiene las cosas estables"
Regenerate,,,ha tenido rework muy intenso en 2024
Spider climb,,,añadir de 2024 el upcasteo de 1 objetivo por nivel
Gaseous Form,,,añadir de 2024 el upcasteo de 1 objetivo por nivel. aumentar duracion 1h > 4h
Tongues,,,aumentar duracion 1h >2h? upcasteo de 1 objetivo por nivel? 
Dread steed,,,"esto es una frikada, pero haria que el hechizo dejara al caballo caminar sobre el agua si eres rimebound, si eres mistreaver es completamente silencioso, si eres bloodboil le puedes tirar blood ward, y si eres graveherder cuando hace trample o pierdes concentracion se queda 12 segundos descomponiendose en el sitio(para death coil)"
False life,,,ver bufo 2024
Detect Evil and Good,Detect Interlopers,"Your senses multiply into the hundreds, synapses fire at impulses you would previously have ignored; that which was unseen is now observed.","Cambiar a ""Detect Interlopers"", detecta cosas segun origen; descendiente celestial? ruidito alarm. DM trabaja, sonido de látigo. Quizas que puedas elegir la descendencia para que sea menos esquizo, tipo ""quiero peña de paivatar"" o ""quiero peña de kuutar"" o ""quiero peña del dragon"""
Protect from evil and good,,,
meld into stone,,,pone que no puedes respirar dentro de la piedra(no esta en 2014 ni 2024). siendo un hechizo tan restrictivo creo que se puede añadir alguna utilidad aun
Immovable Object,Affix,,"si falla la tirada de fuerza para mover el objeto, [tiene que salvar CON o] gana 1 exhaustion"
Armor of agathys,"Baleful Bulwark. añadir ""tormenting tombsteel"" que es una version de hielo exponencialmente mas cara, de nivel mas alto, algo distinta. asi si quieres la build del asco infame te la tienes que ganar","Grim darkness envelops you, violently lashing out at any attacker with the crushing finality of oblivion itself.","ver bufo 2024. muy interesante. cambiar daño a ""dark"" para evitar cheeseos de mierda con el daño de hielo que tiene mil sinergias. cold caster + rimelord + elemental adept + sorcerer de fresqui + silente hielo es un horror. cada proc de armor of agathys te hace 700 trillones de daño y te deja en el sitio"
Freedom of Movement,,,alargar 1h >4h. 
Guiding Hand (UA),,,borrar. la mejor y mas sosa versión del efecto
wall of wind,,,"definir si para proyectiles físicos medianos y/o grandes. hacer que sea terreno dificil para todas las criaturas voladoras, no solo impasable para peques"
wall of water,,,"if the spell is cast on the entirely over the water's surface instead of the ground's surface, it becomes 5 feet thick. it is half cover, Creatures must swim to cross it(it is still difficult terrain) reduces fire damage to a quarter, and when frozen it has 30 HP per section"
wall of sand,,,"you may as a bonus action, drop concentration. if you do, for any part of the wall that was conjured over sand, the wall remains for the spells full duration."
wall of light,,,wall of light no puede ser circular. si pegas con el laser de los turnos de despues que fuerce salvacion con para evitar ceguera? propuesta de mejora de upcasteo: 20 pies más de largo
magic stone,Kivi,With a grasping motion you summon a small pebble. The source of al great inventions.,añadir escalado por nivel por lo menos. luego ya se vera si se puede hacer que esto sea razonable. hacer que la pedrada pegue una buena hostia.
Create Bonfire,,,"alargar 1min >10 min?. creo que se podría hacer que ""create bonfire"" te dejara crear una hoguera de verdad y no solo ""algo magico que es como una hoguera"". a lo mejor hacer que sea terreno dificil?"
Mordenkainen's Faithful Hound,Wrought Watchdog,"You mold nothingness into a stony, watchful guarding that will stand their ground fiercely, fighting tooth and nail for their given purpose.",alargar 8h > 24h. 
Rope Trick,,,"borrar. A la mierda se va, no pocket dimensions allowed"
revisar los reworks 2024(sobre todo para curación) y hechizos nuevos.,,,revisar en general. han cambiado muchisimas cosas
Find Vehicle (UA),conjure vehicle,,"aumentar duracion 8h > 24 h. un dia/12h? extra de duracion por upcasteo? diría que es interesante hacer una tabla de upcasteos tipo. 2 - boat, cart, simple parachute. 3 - coach carriage, outrigger sail boat, warkite 4- horse-drawn caravan, air baloon. 5 - motor vehicle, man'o'war, rudimentary flying machine 6 - steam boat, empyrean hovercraft, zeppelin airship"
Divine favor,,,borrar. no estoy muy seguro de que este hechizo sea unico ni interesante
Fog Cloud,Brumebreath,somatic component(exhale a deep breath). the air you exhale condenses and forms into a fog cloud,you may channel any number of brumebreaths at once
Raulothim's Psychic Lance (UA),,,borrar
Raulothim's Psychic Lance,Mind bear,bear in mind. el hechizo esta personificado porque me hace más gracia asi. probablemente haya algun otro animal o coso que se pueda poner,
Time Ravage,Anaximander's gift,"When anaximander opened the door to the hidden realm, nigredo made him a gift. a spell of ruin and rot. may his name remain forever in infamy",
Power word kill,Thought of Oblivion,"When the Canvas first dreamt, some of these Nulls phased into the thought of disparity, the idea that if a thing is, it can be unmade. This is not so much a spell, but a fundamental truth of the universe given form.",verbal component(that which exists can be unmade)
Dark Star,Bane of the Mountains,,
Demiplane,Unravel,open a door to the folds(?),
Mighty Fortress,el hechizo se llama como un castillo especifico. porque siempre invoca exactaamente ese castillo. el castillo cayo hace tiempo pero en la copia siguen ondeando las banderas originales y esta enn perfecto estado,,
Reality Break,Tear the canvas,,cambiar el flavor de los efectos. 1 - visions of the clone worlds(el efecto debería decir stagger). 7-everdark flame
Maddening Darkness,Pandemonium,"Beckon a dark orb, and hiisi within",
Draconic Transformation (UA),,,borrar. no hay dragones no?
Sunburst,,,
Ravenous Void,Null sphere,,
Fizban's Platinum Shield (UA),,,borrar
Fizban's Platinum Shield,,,borrar
Catapult,Fling,,
Create Spelljamming Helm,,,borrar. el efecto mola pero 0 damocles
Infestation,black swarm,,
Create Food and Water,Provisions,,se puede alargar la duracion considerablemente
Erupting Earth,,,no se. no me parece un hechizo que haga nada especialmente interesante. creo que se puede borrar
Frost Fingers,embrace of winter,,
Distort value,,,borrar
Booming Blade,Echoing strike,"A thunderous strike. if the target is not ready, the explosive trajectory of the blade repeats itself and strikes from an unforseen angle","At the end of the targets turn, if theyre not steady, they take 1d8 thunder damage, and the spell ends."
Fire Bolt,fiery flechette,,desventaja si pegas a +30 pies y no estás steady? no se si se merece un nerfeo. de todos modos si nerfeamos lo suficiente podríamos juntarlo con la miniutilidad de control flame
"Hand of Radiance (UA), Word of Radiance, Thunderclap, Sword Burst",,,"hand of radiance se va seguro, pero no creo que sea productivo ni interesante tener el mismo hechizo 3 veces con tipos de daño distinto. son *ligeramente* distintos pero no creo que la diferencia sea relevante para cantrips"
On/Off (UA),,,borrar
Virtue (UA),,,"borrar. probablemente se pueda equilibrar pero es que no quiero. que pereza decir ""y le pongo virtue a todos!"". quiza si lo que hace es que ganas proficiencyu temp hp(solo self)?"
"control flames, gust, mold earth, shape water, druidcraft, thaumaturgy",,,"borrar? este ciclo en general es un poco regulero. hay mucho bloat de cantrips de utilidad que apenas tienen utilidad porque son ""tematicos"". se les podria hacer rework intesno pero que se pongan a la cola"
"Resistance, guidance",,,"creo que se pueden juntar esos dos hechizos en un solo hechizo, eliges modo cuando lo aprendes. quizás se pueda añadir algun modo más(ver mind paths?) (+1d4 de AC contra el primer ataque que te acierte? )"
Absorb Elements,Elemental flux,"redirect an incoming elemental attack into a swirling ring, then throw it back in an outburst",
